Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
MK Pandey,1552,batsman,0.15833365828661475,2025-02-20,21
KMDN Kulasekara,1552,bowler,0.28896686159844054,2022-12-22,812
RJ Harris,1552,bowler,0.275420614504825,2023-02-15,757
SC Kuggeleijn,1552,bowler,0.16599999999999998,2024-03-01,377
HH Gibbs,1552,batsman,0.14471457017738232,2023-01-18,785
Sameer Rizvi,1552,batsman,0.05133928571428571,2025-03-02,11
DJ Mitchell,1552,batsman,0.14985165991902832,2025-03-07,6
Vijaykumar Vyshak,1552,bowler,0.2811602387511478,2025-02-21,20
CR Brathwaite,1551,all-rounder,0.14791024231641609,2024-03-21,357
MS Dhoni,1550,batsman,0.178351738983808,2025-03-07,6
M Jansen,1549,bowler,0.22395155771345157,2025-02-24,17
JC Archer,1549,bowler,0.26925177456802457,2024-12-06,97
RJ Peterson,1548,all-rounder,0.11370000000000001,2023-01-03,800
R Shukla,1548,bowler,0.17691964285714282,2023-05-26,657
FH Edwards,1546,bowler,0.2494042443064182,2022-06-02,1015
B Geeves,1546,bowler,0.225,2022-05-02,1046
JM Kemp,1546,all-rounder,0.11533834586466168,2022-08-29,927
OF Smith,1546,all-rounder,0.16299166666666667,2024-09-02,192
DS Kulkarni,1546,bowler,0.210127947507629,2024-07-03,253
UBT Chand,1545,batsman,0.06318559311059312,2023-09-24,536
DH Yagnik,1545,batsman,0.07313764842243103,2023-05-22,661
P Simran Singh,1544,batsman,0.12844018561297046,2025-03-08,5
Mandeep Singh,1544,batsman,0.09592070916342578,2024-11-15,118
GHS Garton,1543,bowler,0.13605614035087718,2024-08-03,222
SE Marsh,1542,batsman,0.2487391942607904,2023-12-04,465
AM Salvi,1542,bowler,0.21675457875457876,2022-11-02,862
PC Valthaty,1541,batsman,0.11423690882769556,2023-02-22,750
S Aravind,1541,bowler,0.25393914985957916,2023-11-25,474
AJ Tye,1541,bowler,0.2796239428699955,2024-08-20,205
S Sohal,1540,batsman,0.11353152076581956,2022-11-04,860
SM Boland,1540,bowler,0.2642543859649123,2023-09-14,546
JJ Bumrah,1540,bowler,0.2782760801331521,2025-03-01,12
Shashank Singh,1540,batsman,0.20434046844441886,2025-03-08,5
MK Lomror,1539,batsman,0.09796661815993711,2025-03-10,3
DR Shorey,1539,batsman,0.037500000000000006,2024-04-02,345
MA Wood,1537,bowler,0.37219230769230777,2024-11-08,125
IK Pathan,1537,all-rounder,0.17110200327784333,2023-11-14,485
HF Gurney,1537,bowler,0.16168997975708502,2024-04-03,344
JDP Oram,1537,all-rounder,0.13535335985853228,2023-01-31,772
RS Sodhi,1536,batsman,0.07266666666666667,2022-08-19,937
AA Chavan,1536,bowler,0.14995998445998446,2023-04-05,708
MV Boucher,1536,batsman,0.12159604656100964,2022-10-31,864
UT Khawaja,1535,batsman,0.0672341696535245,2023-10-04,526
Gulbadin Naib,1535,batsman,0.025000000000000005,2025-03-04,9
PJ Sangwan,1534,bowler,0.20376564226167507,2024-09-25,169
T Taibu,1534,batsman,0.01666666666666667,2022-04-18,1060
HV Patel,1534,bowler,0.273708832854635,2025-03-08,5
RV Patel,1533,batsman,0.030210390946502064,2024-12-12,91
Aman Hakim Khan,1533,batsman,0.07177369146005509,2024-12-24,79
AP Dole,1532,bowler,0.3068151147098515,2022-08-20,936
AB Barath,1532,batsman,0.07497539682539682,2022-08-19,937
Abdul Samad,1532,batsman,0.08459137160642975,2025-03-12,1
AJ Finch,1532,batsman,0.14627105624164852,2024-09-27,167
Arshdeep Singh,1532,bowler,0.23364661637657594,2025-03-08,5
J Botha,1532,all-rounder,0.17182412634415897,2023-07-27,595
SMSM Senanayake,1532,bowler,0.2799294871794872,2023-04-03,710
Lalit Yadav,1532,all-rounder,0.11376586603872321,2025-02-04,37
KA Maharaj,1532,bowler,0.24583333333333335,2025-01-27,45
WD Parnell,1532,bowler,0.25047401265869434,2024-12-27,76
Harmeet Singh,1532,bowler,0.2214588848912157,2023-04-01,712
D Jansen,1531,bowler,0.25,2024-11-09,124
V Viyaskanth,1531,bowler,0.11159999999999999,2025-03-09,4
SB Wagh,1531,bowler,0.15661027568922306,2022-10-26,869
SA Asnodkar,1531,batsman,0.13906970788176556,2022-09-26,899
MS Bisla,1530,batsman,0.11472416091265214,2023-07-05,617
SS Tiwary,1530,batsman,0.12176226688310138,2024-07-31,225
R McLaren,1530,all-rounder,0.12426950582873598,2023-03-23,721
T Thushara,1530,bowler,0.34930199430199427,2022-08-17,939
DJ Jacobs,1530,batsman,0.07716190476190476,2022-12-06,828
Mohammad Nabi,1530,bowler,0.1851583491739742,2025-02-17,24
RS Bopara,1529,all-rounder,0.13876423386457037,2023-07-28,594
RR Sarwan,1529,batsman,0.05504427083333333,2022-04-14,1064
AC Blizzard,1529,batsman,0.137790873015873,2022-12-21,813
KC Sangakkara,1529,batsman,0.16520588241466194,2023-03-24,720
TK Curran,1528,all-rounder,0.12590594533671456,2024-08-02,223
V Pratap Singh,1528,bowler,0.2331481481481482,2023-01-24,779
AC Voges,1528,batsman,0.1544905428290845,2022-08-28,928
KP Pietersen,1528,batsman,0.20978508993730904,2023-08-28,563
YA Abdulla,1528,bowler,0.2437128427128427,2022-07-13,974
DA Warner,1528,batsman,0.2725568769512654,2025-03-03,10
P Suyal,1528,bowler,0.09982456140350875,2023-06-27,625
MW Short,1527,batsman,0.11964790764790764,2024-12-03,100
NJ Maddinson,1527,batsman,0.01666666666666667,2023-07-21,601
AT Carey,1527,batsman,0.07446913580246915,2024-05-29,288
WA Mota,1527,all-rounder,0.08451818181818183,2022-07-01,986
PP Chawla,1527,bowler,0.2182709018214812,2025-03-06,7
K Khejroliya,1526,bowler,0.124,2024-11-20,113
LA Carseldine,1526,batsman,0.12665132275132276,2022-06-17,1000
